country_code,country,year,gdp_per_capita_constant_2015_usd,gdp_growth_annual_pct,adjusted_inflation_annual_pct,adjusted_unemployment_total_pct_ilo_estimate,life_expectancy_years,adjusted_infant_mortality_per_1000_live_births,secondary_school_enrollment_gross_pct,access_to_electricity_pct_population,individuals_using_internet_pct_population,trade_pct_gdp,PC1,PC2,PC3
IDN,Indonesia,2010,2670.8129098953,6.22385418062366,-5.13420639015885,-5.614,68.364,-27.0,75.6519088745117,94.2,10.92,46.7012738758737,-2.3663398722141866,0.6755235322718288,0.22733368818629107
IDN,Indonesia,2011,2799.62468790318,6.16978420771008,-5.35604849112582,-5.153,68.629,-25.9,78.1330718994141,94.8,12.28,50.1800131841104,-2.1351404129635805,0.6818720645213258,0.2302900718682038
IDN,Indonesia,2012,2930.518445323,6.03005065305615,-4.2795142691943,-4.468,68.862,-24.9,80.0926818847656,96.0,14.52,49.5828982992627,-1.8959791043875311,0.7115942731214273,0.12176285015861626
IDN,Indonesia,2013,3055.24246006469,5.5572636889101,-6.41249457900391,-4.336,69.064,-23.9,81.8896974781343,96.5,14.94,48.6373726752893,-1.7275290835855797,0.5726463960726126,0.28275381399379534
IDN,Indonesia,2014,3170.72103011429,5.006668425755,-6.39492882396559,-4.049,69.292,-22.9,83.5559949258569,97.0,17.1431598350566,48.0801755855227,-1.5252918702027725,0.49404736832561263,0.20918836061812093
IDN,Indonesia,2015,3288.22269725538,4.87632230022123,-6.36312061196646,-4.514,69.52,-21.9,87.8423207929976,97.5,22.062742603379,41.9376402415294,-1.2723309558830398,0.2603249446791531,0.2236886059854127
IDN,Indonesia,2016,3416.81005170972,5.03306918280177,-3.52580452815451,-4.301,69.733,-21.0,87.8191791728036,97.6,25.447353701827,37.4213418023318,-1.1545278679990814,0.3342228522376456,0.0018896390513486068
IDN,Indonesia,2017,3553.51999262321,5.06978590134916,-3.80879857691949,-3.783,69.953,-20.1,90.9455391241064,98.1,32.335806250688,39.3554970704606,-0.8437188700239748,0.2689280424926756,0.006242993522236003
IDN,Indonesia,2018,3701.32155461912,5.17429153955024,-3.19834755924996,-4.387,70.08,-19.3,92.8120739600443,98.5,39.9046386385762,43.0743089552002,-0.5799276504013536,0.16870903538017398,-0.09601655686788722
IDN,Indonesia,2019,3850.90321738979,5.01928768046282,-3.03058460941661,-3.59,70.349,-18.5,94.9467044891028,98.9,47.6906489788375,37.6277775357108,-0.3072901319060345,0.08230199464884405,-0.10871427768810489
IDN,Indonesia,2020,3739.44906563161,-2.06551182934165,-1.91983527270793,-4.255,68.817,-17.7,96.9345779132931,97.0,53.72649449,32.9721754002427,-0.21694231537194442,-0.9896578285770162,-1.390082406262322
IDN,Indonesia,2021,3850.68877253903,3.70288562827751,-1.56007882983334,-3.827,67.452,-17.0,97.8441479813619,99.2,62.10447842,40.2047582749671,-0.15160460657710076,-0.416260821279051,-0.6950697577704399
IDN,Indonesia,2022,4024.91225288391,5.30719722664799,-4.20946463714784,-3.462,70.925,-16.3,97.8167602714893,100.0,66.48461277,45.4646701959453,0.3519532222231174,-0.025579379424630053,-0.06771785627249972
IDN,Indonesia,2023,4192.65167890692,5.04902331835997,-3.66938654859761,-3.308,71.146,-15.7,96.0002120295081,99.4,69.20836554,41.3362868707652,0.3899195757984975,-0.02506347708697845,-0.12730494062825679
MYS,Malaysia,2010,8118.92270511981,7.42484738326097,-1.62285235577035,-3.32,75.376,-6.5,77.2140274047852,99.5,56.3,157.944764886771,1.6296886569351747,1.958623712696037,-0.4360363130920725
MYS,Malaysia,2011,8400.32248683558,5.29391283414003,-3.1744709215131,-3.05,75.488,-6.5,77.5925369262695,99.5,61.0,154.937684607226,1.8089569433010653,1.6121392305533664,-0.5899985750353705
MYS,Malaysia,2012,8710.52671359902,5.47345419253853,-1.66357102479206,-3.04,75.552,-6.5,81.2371978759766,99.8,65.8,147.841754766013,1.9832332306880665,1.4699625900697486,-0.6624960247669097
MYS,Malaysia,2013,8964.80724896203,4.69372252557893,-2.10501231233612,-3.14,75.464,-6.5,80.938362121582,99.6,57.05751226,142.720991464873,1.8329743735822712,1.3824941723624526,-0.6473230062081204
MYS,Malaysia,2014,9341.73055971278,6.00672194558203,-3.14299050879095,-2.88,75.345,-6.6,83.2836303710938,99.7,63.6654258813225,138.312231176843,1.9731472029572696,1.3344530454381298,-0.3312612060535707
MYS,Malaysia,2015,9648.6797937523,5.09153242155011,-2.10438980238359,-3.1,75.288,-6.7,81.5115814208984,99.9,71.0640678111957,131.37007244526,2.077187785495472,1.14528460447921,-0.5481735108403115
MYS,Malaysia,2016,9901.47960179812,4.44978139761541,-2.09056659525742,-3.44,75.371,-6.7,79.8283920288086,99.9,78.7883099275229,126.8990100257,2.196198177965376,0.973647796049713,-0.6403360868522813
MYS,Malaysia,2017,10293.7629205362,5.81272240983328,-3.87120115774237,-3.41,75.542,-6.7,78.8863677978516,100.0,80.1404790103961,133.155173371956,2.2606747609916216,1.1251226527122191,-0.28584111865508244
MYS,Malaysia,2018,10610.1950240479,4.84308697634881,-0.884709160571235,-3.3,75.734,-6.8,74.4872817993164,100.0,81.2010486181174,130.402625502126,2.243090399603799,1.1891412568677,-0.6893396689078831
MYS,Malaysia,2019,10902.9834855856,4.41318742129586,-0.662891865764326,-3.33,75.9,-6.8,75.3229827880859,100.0,84.1871450078281,123.028562027943,2.334635908002218,1.0319321651209348,-0.7140915975908881
MYS,Malaysia,2020,10171.4657842762,-5.45684658426701,1.1387021539305,-4.54,76.057,-6.8,73.2459411621094,100.0,89.55501192,116.788182437638,2.52880838560146,-0.11434853950262676,-2.411328558852977
MYS,Malaysia,2021,10388.2667120857,3.31534954399166,-2.47710241465447,-4.64,73.917,-6.8,74.9618181140898,100.0,96.7514278,134.035994690727,2.349603095976356,0.6127187182950492,-0.9828350994154615
MYS,Malaysia,2022,11191.6511756943,9.03173723044451,-3.37869862549928,-3.93,75.444,-6.9,78.8341986282999,100.0,97.3986404,146.424604753908,2.6019854880701287,1.3338833433454185,-0.0038185511251764203
MYS,Malaysia,2023,11445.3925275079,3.5370638041057,-2.48886560125754,-3.858,76.657,-6.9,79.4472788704033,100.0,97.69272633,132.593461641599,2.849340602811979,0.6936790285768913,-0.7532103228951363
MEX,Mexico,2010,9389.06722084275,4.9713345832195,-4.15672722680174,-5.303,73.718,-17.0,87.2729263305664,99.2,31.05,59.2733845293851,0.3724631433380283,0.2985240654618252,0.31369342462607425
MEX,Mexico,2011,9575.93437788582,3.44404505794418,-3.40737824605742,-5.175,73.921,-16.6,88.3800888061523,99.0,37.1762954125184,62.1623872764498,0.610830133095739,0.10364602745553515,-0.030052637802892926
MEX,Mexico,2012,9782.51776305354,3.55321075993527,-4.11150981070289,-4.892,74.128,-16.2,90.6936187744141,99.1,39.75,64.2579318900113,0.7875758885938088,0.059548172587319405,0.047891252197282914
MEX,Mexico,2013,9738.71059803658,0.852101559410627,-3.80639069747204,-4.921,74.289,-15.8,93.2623062133789,99.1,43.46,62.6916747735807,1.0036616870349055,-0.3312391216571915,-0.39613689641869015
